Subject,Control,Complexity,Num_A,Num_sim,Regret_cum
1,sharedergodic,high,1,148,9.06534959865174
1,autoergodic,high,1,148,4.59594325217361
1,none,low,1,191,7.97856689724074
1,waypoint,low,1,191,12.946861240777
1,directergodic,low,1,191,4.78957242656209
1,sharedergodic,low,1,191,2.26438817738895
1,autoergodic,low,1,191,10.1190941001589
1,none,high,1,191,4.84925339217023
1,waypoint,high,1,191,12.0509041237977
1,directergodic,high,1,191,9.20692904332258
1,sharedergodic,high,1,191,9.24211249335976
1,autoergodic,high,1,191,5.14278768680874
1,none,low,1,245,8.1313243100788
1,waypoint,low,1,245,12.4009899406839
1,directergodic,low,1,245,4.94261992438483
1,sharedergodic,low,1,245,2.24416573047288
1,autoergodic,low,1,245,10.290986955415
1,none,high,1,245,4.36544268233212
1,waypoint,high,1,245,12.1626943399085
1,directergodic,high,1,245,9.20243421678576
1,sharedergodic,high,1,245,9.64583617076302
1,autoergodic,high,1,245,4.85060015648523
1,none,low,1,314,8.13490545493472
1,waypoint,low,1,314,12.5628153753572
1,directergodic,low,1,314,4.92941834335716
1,sharedergodic,low,1,314,2.5129961040185
1,autoergodic,low,1,314,10.0733567907152
1,none,high,1,314,4.55379884671568
1,waypoint,high,1,314,11.617482849508
1,directergodic,high,1,314,8.99380347714064
1,sharedergodic,high,1,314,9.60348665255723
1,autoergodic,high,1,314,4.68181148436195
1,none,low,1,403,8.16921144956005
1,waypoint,low,1,403,12.6987200316918
1,directergodic,low,1,403,4.60504353124067
1,sharedergodic,low,1,403,2.11932715965927
1,autoergodic,low,1,403,10.5697185118224
1,none,high,1,403,4.36379884671569
1,waypoint,high,1,403,12.047982075053
1,directergodic,high,1,403,9.0430743131471
1,sharedergodic,high,1,403,9.19002666803053
1,autoergodic,high,1,403,4.99860867628602
1,none,low,1,518,8.07633259772384
1,waypoint,low,1,518,12.3618293256612
1,directergodic,low,1,518,4.99034960721525
1,sharedergodic,low,1,518,2.27937952853253
1,autoergodic,low,1,518,10.4919436973269
1,none,high,1,518,4.63932516250517
1,waypoint,high,1,518,12.2673868510983
1,directergodic,high,1,518,9.02108989435685
1,sharedergodic,high,1,518,9.93462221764779
1,autoergodic,high,1,518,4.7051843639163
1,none,low,1,665,8.06265217678782
1,waypoint,low,1,665,12.3840550351477
1,directergodic,low,1,665,5.0068227545884
