Subject,Control,Complexity,Num_A,Num_sim,Intersection_time,Regret
20,directergodic,low,4,7,128,0.0
20,directergodic,low,4,9,128,0.0
20,directergodic,low,4,12,128,0.0
20,directergodic,low,4,16,128,0.0
20,directergodic,low,4,20,128,0.0
20,directergodic,low,4,26,128,0.0
20,directergodic,low,4,33,128,0.0
20,directergodic,low,4,43,128,0.0
20,directergodic,low,4,55,128,0.0
20,directergodic,low,4,70,128,0.0
20,directergodic,low,4,90,128,0.0
20,directergodic,low,4,116,128,0.0
20,directergodic,low,4,148,128,0.0
20,directergodic,low,4,191,128,0.0
20,directergodic,low,4,245,128,0.0
20,directergodic,low,4,314,128,0.0
20,directergodic,low,4,403,128,0.0
20,directergodic,low,4,518,128,0.0
20,directergodic,low,4,665,128,0.0
20,directergodic,low,4,854,128,0.0
20,directergodic,low,4,1097,128,0.0
20,directergodic,low,4,1408,128,0.0
20,directergodic,low,4,1808,128,0.0
20,directergodic,low,4,2322,128,0.0
20,directergodic,low,4,2981,128,0.0
20,directergodic,low,4,3828,128,0.0
20,directergodic,low,4,4915,128,0.0
20,directergodic,low,4,6311,128,0.0
20,directergodic,low,4,8103,128,0.0
20,directergodic,low,4,10405,128,0.0
20,directergodic,low,4,13360,128,0.0
20,directergodic,low,5,1,128,51.0
20,directergodic,low,5,2,128,51.0
20,directergodic,low,5,3,128,51.0
20,directergodic,low,5,4,128,51.0
20,directergodic,low,5,6,128,51.0
20,directergodic,low,5,7,128,51.0
20,directergodic,low,5,9,128,0.9114790703828872
20,directergodic,low,5,12,128,0.9114790703828872
20,directergodic,low,5,16,128,0.0
20,directergodic,low,5,20,128,0.0
20,directergodic,low,5,26,128,0.0
20,directergodic,low,5,33,128,0.0
20,directergodic,low,5,43,128,0.0
20,directergodic,low,5,55,128,0.0
20,directergodic,low,5,70,128,0.0
20,directergodic,low,5,90,128,0.0
20,directergodic,low,5,116,128,0.0
20,directergodic,low,5,148,128,0.0
20,directergodic,low,5,191,128,0.0
20,directergodic,low,5,245,128,0.0
20,directergodic,low,5,314,128,0.0
20,directergodic,low,5,403,128,0.0
20,directergodic,low,5,518,128,0.0
20,directergodic,low,5,665,128,0.0
20,directergodic,low,5,854,128,0.0
20,directergodic,low,5,1097,128,0.0
20,directergodic,low,5,1408,128,0.0
20,directergodic,low,5,1808,128,0.0
20,directergodic,low,5,2322,128,0.0
20,directergodic,low,5,2981,128,0.0
20,directergodic,low,5,3828,128,0.0
20,directergodic,low,5,4915,128,0.0
20,directergodic,low,5,6311,128,0.0
20,directergodic,low,5,8103,128,0.0
20,directergodic,low,5,10405,128,0.0
20,directergodic,low,5,13360,128,0.0
20,directergodic,low,6,1,128,48.0
20,directergodic,low,6,2,128,49.95896246125915
20,directergodic,low,6,3,128,51.0
20,directergodic,low,6,4,128,51.0
20,directergodic,low,6,6,128,0.9982743636896347
20,directergodic,low,6,7,128,0.9982743636896347
20,directergodic,low,6,9,128,0.9982743636896347
20,directergodic,low,6,12,128,0.9982743636896347
20,directergodic,low,6,16,128,0.0
20,directergodic,low,6,20,128,0.0
20,directergodic,low,6,26,128,0.0
20,directergodic,low,6,33,128,0.0
20,directergodic,low,6,43,128,0.0
20,directergodic,low,6,55,128,0.0
20,directergodic,low,6,70,128,0.0
20,directergodic,low,6,90,128,0.0
20,directergodic,low,6,116,128,0.0
20,directergodic,low,6,148,128,0.0
20,directergodic,low,6,191,128,0.0
20,directergodic,low,6,245,128,0.0
20,directergodic,low,6,314,128,0.0
20,directergodic,low,6,403,128,0.0
20,directergodic,low,6,518,128,0.0
20,directergodic,low,6,665,128,0.0
20,directergodic,low,6,854,128,0.0
20,directergodic,low,6,1097,128,0.0
20,directergodic,low,6,1408,128,0.0
20,directergodic,low,6,1808,128,0.0
20,directergodic,low,6,2322,128,0.0
20,directergodic,low,6,2981,128,0.0
20,directergodic,low,6,3828,128,0.0
20,directergodic,low,6,4915,128,0.0
20,directergodic,low,6,6311,128,0.0
20,directergodic,low,6,8103,128,0.0
20,directergodic,low,6,10405,128,0.0
20,directergodic,low,6,13360,128,0.0
20,directergodic,low,8,1,128,50.113401358659985
20,directergodic,low,8,2,128,0.7752623779332799
20,directergodic,low,8,3,128,0.7752623779332799
20,directergodic,low,8,4,128,0.7752623779332799
20,directergodic,low,8,6,128,0.3093382919751313
20,directergodic,low,8,7,128,0.3093382919751313
20,directergodic,low,8,9,128,0.3093382919751313
20,directergodic,low,8,12,128,1.1959369333151486
20,directergodic,low,8,16,128,1.1959369333151486
20,directergodic,low,8,20,128,1.1959369333151486
20,directergodic,low,8,26,128,0.9222790640842127
20,directergodic,low,8,33,128,0.9222790640842127
20,directergodic,low,8,43,128,0.0
20,directergodic,low,8,55,128,0.0
20,directergodic,low,8,70,128,0.0
20,directergodic,low,8,90,128,0.0
20,directergodic,low,8,116,128,0.0
20,directergodic,low,8,148,128,0.0
20,directergodic,low,8,191,128,0.0
20,directergodic,low,8,245,128,0.0
20,directergodic,low,8,314,128,0.0
20,directergodic,low,8,403,128,0.0
20,directergodic,low,8,518,128,0.0
20,directergodic,low,8,665,128,0.0
20,directergodic,low,8,854,128,0.0
20,directergodic,low,8,1097,128,0.0
20,directergodic,low,8,1408,128,0.0
20,directergodic,low,8,1808,128,0.0
20,directergodic,low,8,2322,128,0.0
20,directergodic,low,8,2981,128,0.0
20,directergodic,low,8,3828,128,0.0
20,directergodic,low,8,4915,128,0.0
20,directergodic,low,8,6311,128,0.0
20,directergodic,low,8,8103,128,0.0
20,directergodic,low,8,10405,128,0.0
20,directergodic,low,8,13360,128,0.0
20,directergodic,low,10,1,128,49.71625018744312
20,directergodic,low,10,2,128,3.0837856963031007
20,directergodic,low,10,3,128,0.0
20,directergodic,low,10,4,128,0.0
20,directergodic,low,10,6,128,0.0
20,directergodic,low,10,7,128,0.0
20,directergodic,low,10,9,128,0.03644034556687334
20,directergodic,low,10,12,128,0.9982743636896347
20,directergodic,low,10,16,128,0.9982743636896347
20,directergodic,low,10,20,128,0.9982743636896347
20,directergodic,low,10,26,128,0.9982743636896347
20,directergodic,low,10,33,128,0.0
20,directergodic,low,10,43,128,0.0
20,directergodic,low,10,55,128,0.0
20,directergodic,low,10,70,128,0.0
20,directergodic,low,10,90,128,0.0
20,directergodic,low,10,116,128,0.0
20,directergodic,low,10,148,128,0.0
20,directergodic,low,10,191,128,0.0
20,directergodic,low,10,245,128,0.0
20,directergodic,low,10,314,128,0.0
20,directergodic,low,10,403,128,0.0
20,directergodic,low,10,518,128,0.0
20,directergodic,low,10,665,128,0.0
20,directergodic,low,10,854,128,0.0
20,directergodic,low,10,1097,128,0.0
20,directergodic,low,10,1408,128,0.0
20,directergodic,low,10,1808,128,0.0
20,directergodic,low,10,2322,128,0.0
20,directergodic,low,10,2981,128,0.0
20,directergodic,low,10,3828,128,0.0
20,directergodic,low,10,4915,128,0.0
20,directergodic,low,10,6311,128,0.0
20,directergodic,low,10,8103,128,0.0
20,directergodic,low,10,10405,128,0.0
20,directergodic,low,10,13360,128,0.0
20,sharedergodic,low,3,1,71,0.0
20,sharedergodic,low,3,2,71,0.0
20,sharedergodic,low,3,3,71,0.0
20,sharedergodic,low,3,4,71,0.0
20,sharedergodic,low,3,6,71,0.0
20,sharedergodic,low,3,7,71,0.0
20,sharedergodic,low,3,9,71,0.0
20,sharedergodic,low,3,12,71,0.02103640701055698
20,sharedergodic,low,3,16,71,0.02103640701055698
20,sharedergodic,low,3,20,71,0.02103640701055698
20,sharedergodic,low,3,26,71,0.02103640701055698
20,sharedergodic,low,3,33,71,0.0
20,sharedergodic,low,3,43,71,0.0
20,sharedergodic,low,3,55,71,0.0
20,sharedergodic,low,3,70,71,0.0
20,sharedergodic,low,3,90,71,0.0
20,sharedergodic,low,3,116,71,0.0
20,sharedergodic,low,3,148,71,0.0
20,sharedergodic,low,3,191,71,0.0
20,sharedergodic,low,3,245,71,5.551115123125783e-17
20,sharedergodic,low,3,314,71,5.551115123125783e-17
20,sharedergodic,low,3,403,71,5.551115123125783e-17
20,sharedergodic,low,3,518,71,5.551115123125783e-17
20,sharedergodic,low,3,665,71,0.0
20,sharedergodic,low,3,854,71,0.6559089842309261
20,sharedergodic,low,3,1097,71,0.5427755374453394
20,sharedergodic,low,3,1408,71,0.5210364070105568
20,sharedergodic,low,3,1808,71,0.8210364070105568
20,sharedergodic,low,3,2322,71,0.9916246423046746
20,sharedergodic,low,3,2981,71,1.2601668417931653
20,sharedergodic,low,3,3828,71,1.095345050788235
20,sharedergodic,low,3,4915,71,1.1102769133396702
